Дата,"AD (A-прилет, D-вылет)",Терминал,Код а/к,Номер рейса,Плановое время,Код а/п,Аэропорт,Тип ВС,Номер места стоянки,Номер гейта,Количество пассажиров
24.08.2019,D,D,SU,2104,8:30,VNO,Вильнюс,321,38,DGA_I,127
24.08.2019,D,D,SU,2374,8:45,LYS,Лион,320,30,DGA_I,126
24.08.2019,D,D,AF,1145,8:45,CDG,Париж,321,40,DGA_I,199
24.08.2019,A,D,BT,424,9:00,SVO,Рига,CS3,40,DGA_D,143
24.08.2019,D,D,JD,476,8:55,HGH,Ханчжоу,332,56,DGA_I,246
24.08.2019,D,D,FB,644,8:45,BOJ,Бургас,320,50,DGA_I,125
24.08.2019,A,D,AY,711,9:15,SVO,Хельсинки,E90,30,DGA_D,67
24.08.2019,D,D,SU,2380,8:55,GVA,Женева,321,54,DGA_I,162
24.08.2019,D,D,SU,2502,9:00,VLC,Валенсия,73H,49,DGA_I,139
24.08.2019,A,D,N4,520,8:30,SVO,Ольгин,77W,52,DGA_D,486
24.08.2019,D,D,SU,2184,9:05,VIE,Вена,32B,44,DGA_I,163
24.08.2019,A,D,SU,1865,9:40,SVO,Ереван,73H,24,DGA_D,153
24.08.2019,D,D,SU,2550,9:10,AMS,Амстердам,333,59,DGA_I,263
24.08.2019,D,D,SU,502,8:50,TLV,Тель-Авив,77W,26,DGA_I,394
24.08.2019,D,D,SU,2034,9:20,OTP,Бухарест,SU9,71,DGA_I,60
24.08.2019,A,D,SU,151,9:00,SVO,Гавана,332,21A,DGA_D,233
24.08.2019,D,D,SU,2596,9:15,VCE,Венеция,320,32,DGA_I,136
24.08.2019,D,D,SU,2682,9:15,RIX,Рига,320,74,DGA_I,120
24.08.2019,D,D,SU,2322,9:25,MUC,Мюнхен,320,6,DGA_I,130
24.08.2019,D,D,SU,2312,9:20,SXF,Берлин,32A,29,DGA_I,145
24.08.2019,D,D,SU,2142,9:35,AYT,Анталья,32B,36,DGA_I,171
24.08.2019,D,D,FV,6139,9:25,NCE,Ницца,73H,24,DGA_I,146
24.08.2019,D,D,SU,2648,9:35,BCN,Барселона,32B,25,DGA_I,175
24.08.2019,D,D,SU,1860,9:45,EVN,Ереван,32A,13,DGA_I,142
24.08.2019,D,D,SU,104,9:35,IAD,Вашингтон,333,21A,DGA_I,276
24.08.2019,D,D,SU,100,9:20,JFK,Нью-Йорк,77W,9A,DGA_I,379
24.08.2019,D,D,SU,2610,9:40,LJU,Любляна,320,70,DGA_I,118
24.08.2019,D,D,SU,2054,9:55,TIV,Тиват,73H,10,DGA_I,141
24.08.2019,D,D,SU,206,9:30,PVG,Шанхай,77W,73,DGA_I,377
24.08.2019,D,D,SU,2578,9:50,LHR,Лондон,333,27A,DGA_I,269
24.08.2019,D,D,KC,894,9:50,TSE,Нур-Султан,E90,41,DGA_I,77
24.08.2019,D,D,SU,2390,9:50,ZRH,Цюрих,32B,51,DGA_I,164
24.08.2019,D,D,SU,2136,10:00,IST,Стамбул,32A,33,DGA_I,95
24.08.2019,D,D,SU,2040,10:05,ZAG,Загреб,73H,47,DGA_I,100
24.08.2019,D,D,SU,1854,9:55,GYD,Баку,73H,48,DGA_I,155
24.08.2019,D,D,SU,2470,10:05,NCE,Ницца,321,46,DGA_I,143
24.08.2019,A,D,SU,2437,10:30,SVO,Дюссельдорф,32A,27,DGA_D,151
24.08.2019,D,D,SU,2030,10:10,BUD,Будапешт,32A,55,DGA_I,152
24.08.2019,D,D,N4,701,10:10,JED,Джидда,73H,58,DGA_I,11
24.08.2019,D,D,SU,2454,10:05,CDG,Париж,32B,42,DGA_I,176
24.08.2019,D,D,SU,2090,10:15,BEG,Белград,320,79,DGA_I,115
24.08.2019,D,D,BT,425,9:45,RIX,Рига,CS3,40,DGA_I,125
24.08.2019,D,D,SU,2012,10:10,PRG,Прага,32B,53,DGA_I,153
24.08.2019,D,D,SU,2620,10:00,AGP,Малага,73H,37,DGA_I,128
24.08.2019,D,D,SU,2174,10:20,OSL,Осло,32A,35,DGA_I,144
24.08.2019,D,D,AY,712,10:00,HEL,Хельсинки,E90,30,DGA_I,100
24.08.2019,D,D,SU,2418,10:20,FCO,Рим,73H,12,DGA_I,136
24.08.2019,D,D,SU,2072,9:55,LCA,Ларнака,32B,39,DGA_I,166
24.08.2019,D,D,SU,2658,10:20,CPH,Копенгаген,73H,34,DGA_I,116
24.08.2019,A,D,SU,103,11:45,SVO,Нью-Йорк,77W,19A,DGA_D,348
24.08.2019,D,D,SU,2210,10:25,ARN,Стокгольм,73H,20,DGA_I,121
24.08.2019,A,D,N4,1612,10:45,SVO,Ираклион,772,50,DGA_D,443
24.08.2019,D,D,B2,976,10:35,MSQ,Минск,E95,28,DGA_I,94
24.08.2019,D,D,SU,2300,10:15,FRA,Франкфурт,320,19,DGA_I,131
24.08.2019,D,D,SU,2346,10:35,HAM,Гамбург,320,184,DGA_I,128
24.08.2019,D,D,SU,2206,10:40,HEL,Хельсинки,SU9,75,DGA_I,69
24.08.2019,D,D,SU,2126,10:50,HER,Ираклион,31U,60,DGA_I,169
24.08.2019,D,D,SU,2336,10:55,STR,Штутгарт,320,68,DGA_I,129
24.08.2019,D,D,SU,2342,10:45,HAJ,Ганновер,32A,2,DGA_I,154
24.08.2019,D,D,SU,2522,11:00,ALC,Аликанте,32B,25,DGA_I,166
24.08.2019,D,D,SU,2612,11:00,MXP,Милан,73H,24,DGA_I,153
24.08.2019,D,D,SU,110,11:00,MIA,Майами,332,31,DGA_I,168
24.08.2019,D,D,FV,6637,10:50,ORY,Париж,73H,29,DGA_I,191
24.08.2019,A,D,N4,1836,11:20,SVO,Даламан,772,59,DGA_D,442
24.08.2019,A,D,SU,111,12:15,SVO,Майами,332,29A,DGA_D,217
24.08.2019,D,D,SU,2344,11:25,DRS,Дрезден,SU9,38,DGA_I,62
24.08.2019,D,D,SU,2406,11:25,FCO,Рим,320,32,DGA_I,126
24.08.2019,A,D,SU,1943,11:10,SVO,Алматы,32A,47,DGA_D,155
24.08.2019,D,D,N4,203,11:10,FEG,Фергана,73H,54,DGA_I,179
24.08.2019,A,D,N4,1802,11:30,SVO,Анталья,77W,53A,DGA_D,489
24.08.2019,D,D,SU,2152,11:20,DUS,Дюссельдорф,32A,15,DGA_I,157
24.08.2019,A,D,N4,644,11:50,SVO,Ларнака,321,46,DGA_D,218
24.08.2019,A,D,SU,501,12:00,SVO,Тель-Авив,31U,28,DGA_D,100
24.08.2019,A,D,RL,7544,11:15,SVO,Даламан,75W,58,DGA_D,225
24.08.2019,D,D,EO,277,10:30,EVN,Ереван,E90,45,DGA_I,101
24.08.2019,D,D,RL,7703,10:35,AYT,Анталья,77W,93,DGA_I,498
24.08.2019,D,D,SU,2318,11:20,SXF,Берлин,32A,131,DGA_I,143
24.08.2019,D,D,SU,2462,11:45,CDG,Париж,31U,57,DGA_I,171
24.08.2019,D,D,SU,2100,11:50,RIX,Рига,SU9,16,DGA_I,74
24.08.2019,D,D,SU,2356,12:00,VIE,Вена,73H,7,DGA_I,133
24.08.2019,D,D,N4,1805,11:50,AYT,Анталья,77W,52,DGA_I,404
24.08.2019,D,D,SU,2518,12:05,PMI,Пальма-де-Майорка,32A,27,DGA_I,135
24.08.2019,D,D,EO,453,12:10,CAN,Гуанчжоу,763,56,DGA_I,329
24.08.2019,D,D,SU,2514,12:10,BCN,Барселона,32B,33,DGA_I,181
24.08.2019,D,D,SU,200,12:15,PEK,Пекин,333,23,DGA_I,274
